2023/02/15 08:45:57 PM Namespace(alpha=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=10000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/15 08:48:03 PM > ep = 93 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:03 PM > ep = 94 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:03 PM > ep = 95 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:03 PM > ep = 96 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:03 PM > ep = 97 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.035
2023/02/15 08:48:05 PM > ep = 98 | total steps = 192320 | reward = 0.6319 | length = 818 | hours = 0.035
2023/02/15 08:48:06 PM > ep = 99 | total steps = 195696 | reward = 0 | length = 2000 | hours = 0.036
2023/02/15 08:48:07 PM > ep = 100 | total steps = 196512 | reward = 0.2764 | length = 1608 | hours = 0.036
2023/02/15 08:48:11 PM > ep = 101 | total steps = 202384 | reward = 0 | length = 2000 | hours = 0.037
2023/02/15 08:48:11 PM > ep = 102 | total steps = 203328 | reward = 0.6809499999999999 | length = 709 | hours = 0.037
2023/02/15 08:48:12 PM > ep = 103 | total steps = 204160 | reward = 0 | length = 2000 | hours = 0.037
2023/02/15 08:48:12 PM > ep = 104 | total steps = 204192 | reward = 0.6660999999999999 | length = 742 | hours = 0.037
2023/02/15 08:48:14 PM > ep = 105 | total steps = 206048 | reward = 0.5801499999999999 | length = 933 | hours = 0.038
2023/02/15 08:48:17 PM > ep = 106 | total steps = 211680 | reward = 0 | length = 2000 | hours = 0.039
2023/02/15 08:48:19 PM > ep = 107 | total steps = 214400 | reward = 0 | length = 2000 | hours = 0.039
2023/02/15 08:48:19 PM > ep = 108 | total steps = 215216 | reward = 0 | length = 2000 | hours = 0.039
2023/02/15 08:48:24 PM > ep = 109 | total steps = 223024 | reward = 0.23140000000000005 | length = 1708 | hours = 0.041
2023/02/15 08:48:24 PM > ep = 110 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.041
2023/02/15 08:48:24 PM > ep = 111 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.041
2023/02/15 08:48:24 PM > ep = 112 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.041
2023/02/15 08:48:24 PM > ep = 113 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.041
2023/02/15 08:48:24 PM > ep = 114 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.041
2023/02/15 08:48:24 PM > ep = 115 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.041
2023/02/15 08:48:28 PM > ep = 116 | total steps = 228512 | reward = 0 | length = 2000 | hours = 0.042
2023/02/15 08:48:28 PM > ep = 117 | total steps = 229168 | reward = 0.34975 | length = 1445 | hours = 0.042
2023/02/15 08:48:29 PM > ep = 118 | total steps = 230160 | reward = 0.5567500000000001 | length = 985 | hours = 0.042
2023/02/15 08:48:31 PM > ep = 119 | total steps = 232336 | reward = 0.7651 | length = 522 | hours = 0.043
2023/02/15 08:48:31 PM > ep = 120 | total steps = 232416 | reward = 0.90865 | length = 203 | hours = 0.043
2023/02/15 08:48:32 PM > ep = 121 | total steps = 234384 | reward = 0 | length = 2000 | hours = 0.043
2023/02/15 08:48:32 PM > ep = 122 | total steps = 235328 | reward = 0 | length = 2000 | hours = 0.043
2023/02/15 08:48:33 PM > ep = 123 | total steps = 236160 | reward = 0 | length = 2000 | hours = 0.043
2023/02/15 08:48:33 PM > ep = 124 | total steps = 236192 | reward = 0 | length = 2000 | hours = 0.043
2023/02/15 08:48:36 PM > ep = 125 | total steps = 240528 | reward = 0.66205 | length = 751 | hours = 0.044
2023/02/15 08:48:39 PM > ep = 126 | total steps = 243680 | reward = 0 | length = 2000 | hours = 0.045
2023/02/15 08:48:39 PM > ep = 127 | total steps = 243712 | reward = 0.44514999999999993 | length = 1233 | hours = 0.045
2023/02/15 08:48:39 PM > ep = 128 | total steps = 244048 | reward = 0.4357 | length = 1254 | hours = 0.045
2023/02/15 08:48:39 PM > ep = 129 | total steps = 244480 | reward = 0.88885 | length = 247 | hours = 0.045
2023/02/15 08:48:39 PM > ep = 130 | total steps = 244816 | reward = 0.4140999999999999 | length = 1302 | hours = 0.045
2023/02/15 08:48:40 PM > ep = 131 | total steps = 247216 | reward = 0 | length = 2000 | hours = 0.045
2023/02/15 08:48:41 PM > ep = 132 | total steps = 248400 | reward = 0.55045 | length = 999 | hours = 0.045
2023/02/15 08:48:43 PM > ep = 133 | total steps = 250848 | reward = 0.89785 | length = 227 | hours = 0.046
2023/02/15 08:48:44 PM > ep = 134 | total steps = 252944 | reward = 0.1855 | length = 1810 | hours = 0.046
2023/02/15 08:48:44 PM > ep = 135 | total steps = 253456 | reward = 0.7354 | length = 588 | hours = 0.046
2023/02/15 08:48:45 PM > ep = 136 | total steps = 255024 | reward = 0 | length = 2000 | hours = 0.047
2023/02/15 08:48:46 PM > ep = 137 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.047
2023/02/15 08:48:50 PM > ep = 138 | total steps = 262160 | reward = 0 | length = 2000 | hours = 0.048
2023/02/15 08:48:50 PM > ep = 139 | total steps = 262240 | reward = 0.6796 | length = 712 | hours = 0.048
2023/02/15 08:48:51 PM > ep = 140 | total steps = 262400 | reward = 0.60625 | length = 875 | hours = 0.048
2023/02/15 08:48:51 PM > ep = 141 | total steps = 262752 | reward = 0.22870000000000001 | length = 1714 | hours = 0.048
2023/02/15 08:48:51 PM > ep = 142 | total steps = 263440 | reward = 0.12519999999999998 | length = 1944 | hours = 0.048
2023/02/15 08:48:53 PM > ep = 143 | total steps = 266384 | reward = 0 | length = 2000 | hours = 0.049
2023/02/15 08:48:54 PM > ep = 144 | total steps = 268160 | reward = 0 | length = 2000 | hours = 0.049
2023/02/15 08:48:54 PM > ep = 145 | total steps = 268192 | reward = 0 | length = 2000 | hours = 0.049
2023/02/15 08:48:57 PM > ep = 146 | total steps = 273584 | reward = 0.43389999999999995 | length = 1258 | hours = 0.050
2023/02/15 08:48:58 PM > ep = 147 | total steps = 274192 | reward = 0.14274999999999993 | length = 1905 | hours = 0.050
2023/02/15 08:48:58 PM > ep = 148 | total steps = 274240 | reward = 0.667 | length = 740 | hours = 0.050
2023/02/15 08:48:58 PM > ep = 149 | total steps = 274512 | reward = 0.6548499999999999 | length = 767 | hours = 0.050
2023/02/15 08:48:59 PM > ep = 150 | total steps = 275680 | reward = 0 | length = 2000 | hours = 0.051
2023/02/15 08:49:00 PM > ep = 151 | total steps = 276480 | reward = 0 | length = 2000 | hours = 0.051
2023/02/15 08:49:00 PM > ep = 152 | total steps = 276816 | reward = 0 | length = 2000 | hours = 0.051
2023/02/15 08:49:00 PM > ep = 153 | total steps = 277568 | reward = 0.68545 | length = 699 | hours = 0.051
2023/02/15 08:49:05 PM > ep = 154 | total steps = 284944 | reward = 0 | length = 2000 | hours = 0.052
2023/02/15 08:49:06 PM > ep = 155 | total steps = 286384 | reward = 0.7309 | length = 598 | hours = 0.052
2023/02/15 08:49:06 PM > ep = 156 | total steps = 287024 | reward = 0 | length = 2000 | hours = 0.052
2023/02/15 08:49:06 PM > ep = 157 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.053
2023/02/15 08:49:08 PM > ep = 158 | total steps = 288928 | reward = 0.6805 | length = 710 | hours = 0.053
2023/02/15 08:49:10 PM > ep = 159 | total steps = 292640 | reward = 0.5229999999999999 | length = 1060 | hours = 0.053
2023/02/15 08:49:10 PM > ep = 160 | total steps = 293968 | reward = 0.27415 | length = 1613 | hours = 0.054
2023/02/15 08:49:11 PM > ep = 161 | total steps = 294160 | reward = 0 | length = 2000 | hours = 0.054
2023/02/15 08:49:12 PM > ep = 162 | total steps = 294752 | reward = 0 | length = 2000 | hours = 0.054
2023/02/15 08:49:12 PM > ep = 163 | total steps = 295440 | reward = 0 | length = 2000 | hours = 0.054
2023/02/15 08:49:14 PM > ep = 164 | total steps = 298576 | reward = 0.32319999999999993 | length = 1504 | hours = 0.055
2023/02/15 08:49:15 PM > ep = 165 | total steps = 300192 | reward = 0 | length = 2000 | hours = 0.055
2023/02/15 08:49:17 PM > ep = 166 | total steps = 303632 | reward = 0.23634999999999995 | length = 1697 | hours = 0.056
2023/02/15 08:49:18 PM > ep = 167 | total steps = 305584 | reward = 0 | length = 2000 | hours = 0.056
2023/02/15 08:49:18 PM > ep = 168 | total steps = 305632 | reward = 0.11709999999999998 | length = 1962 | hours = 0.056
2023/02/15 08:49:19 PM > ep = 169 | total steps = 306192 | reward = 0 | length = 2000 | hours = 0.056
2023/02/15 08:49:21 PM > ep = 170 | total steps = 308592 | reward = 0.55135 | length = 997 | hours = 0.057
2023/02/15 08:49:23 PM > ep = 171 | total steps = 313472 | reward = 0.25615 | length = 1653 | hours = 0.057
2023/02/15 08:49:26 PM > ep = 172 | total steps = 316944 | reward = 0 | length = 2000 | hours = 0.058
2023/02/15 08:49:27 PM > ep = 173 | total steps = 318384 | reward = 0 | length = 2000 | hours = 0.058
2023/02/15 08:49:27 PM > ep = 174 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.058
2023/02/15 08:49:29 PM > ep = 175 | total steps = 320928 | reward = 0 | length = 2000 | hours = 0.059
2023/02/15 08:49:30 PM > ep = 176 | total steps = 322000 | reward = 0.48340000000000005 | length = 1148 | hours = 0.059
2023/02/15 08:49:31 PM > ep = 177 | total steps = 324976 | reward = 0.67645 | length = 719 | hours = 0.059
2023/02/15 08:49:32 PM > ep = 178 | total steps = 325968 | reward = 0 | length = 2000 | hours = 0.060
2023/02/15 08:49:32 PM > ep = 179 | total steps = 326160 | reward = 0 | length = 2000 | hours = 0.060
2023/02/15 08:49:33 PM > ep = 180 | total steps = 326752 | reward = 0 | length = 2000 | hours = 0.060
2023/02/15 08:49:33 PM > ep = 181 | total steps = 327040 | reward = 0.96985 | length = 67 | hours = 0.060
2023/02/15 08:49:33 PM > ep = 182 | total steps = 327248 | reward = 0.40779999999999994 | length = 1316 | hours = 0.060
2023/02/15 08:49:34 PM > ep = 183 | total steps = 327440 | reward = 0 | length = 2000 | hours = 0.060
2023/02/15 08:49:34 PM > ep = 184 | total steps = 327680 | reward = 0.8101 | length = 422 | hours = 0.060
2023/02/15 08:49:34 PM > ep = 185 | total steps = 328160 | reward = 0.77005 | length = 511 | hours = 0.060
2023/02/15 08:49:35 PM > ep = 186 | total steps = 330576 | reward = 0 | length = 2000 | hours = 0.060
2023/02/15 08:49:36 PM > ep = 187 | total steps = 332192 | reward = 0 | length = 2000 | hours = 0.061
2023/02/15 08:49:40 PM > ep = 188 | total steps = 337584 | reward = 0 | length = 2000 | hours = 0.062
2023/02/15 08:49:40 PM > ep = 189 | total steps = 337632 | reward = 0 | length = 2000 | hours = 0.062
2023/02/15 08:49:40 PM > ep = 190 | total steps = 338672 | reward = 0.9694 | length = 68 | hours = 0.062
2023/02/15 08:49:42 PM > ep = 191 | total steps = 339376 | reward = 0.7525 | length = 550 | hours = 0.062
