"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"724992","","","","","","","1165","1165","1165","","","","","",""
"726464","4145","4145","4145","","","","","","","","","","","",""
"727552","","","","2693","2693","2693","","","","","","","","",""
"731072","","","","","","","","","","3395","3395","3395","","",""
"732416","","","","","","","","","","","","","1611","1611","1611"
"734016","","","","","","","","","","","","","2847","2847","2847"
"737792","","","","1906","1906","1906","","","","","","","","",""
"740544","","","","","","","","","","","","","2952","2952","2952"
"741440","","","","2573","2573","2573","","","","","","","","",""
"743488","","","","2984","2984","2984","","","","","","","","",""
"745600","","","","","","","2709","2709","2709","","","","","",""
"750016","","","","","","","","","","","","","3280","3280","3280"
"751744","","","","","","","3485","3485","3485","","","","","",""
"754816","","","","3205","3205","3205","","","","","","","","",""
"758144","","","","2011","2011","2011","","","","","","","","",""
"758208","","","","","","","","","","3152","3152","3152","","",""
"759296","","","","3135","3135","3135","","","","","","","","",""
"761216","","","","1849","1849","1849","","","","","","","","",""
"763840","","","","","","","","","","","","","1068","1068","1068"
"764032","","","","","","","","","","","","","2530","2530","2530"
"768000","","","","","","","","","","-5000","-5000","-5000","","",""
"768256","175","175","175","","","","","","","","","","","",""
"769536","","","","","","","","","","","","","1237","1237","1237"
"772288","","","","2932","2932","2932","","","","","","","","",""
"777088","","","","","","","","","","2857","2857","2857","","",""
"777472","","","","-5000","-5000","-5000","","","","","","","","",""
"778624","","","","-5000","-5000","-5000","","","","","","","","",""
"779264","-5000","-5000","-5000","","","","","","","","","","","",""
"779712","","","","764","764","764","","","","","","","","",""
"784896","","","","515","515","515","","","","","","","","",""
"786304","","","","2713","2713","2713","","","","","","","","",""
"799872","","","","2501","2501","2501","","","","","","","","",""
"800832","","","","","","","","","","","","","3956","3956","3956"
"805248","","","","","","","-5000","-5000","-5000","","","","","",""
"805696","","","","","","","","","","","","","3470","3470","3470"
"808512","3484","3484","3484","","","","","","","","","","","",""
"809088","","","","","","","1882","1882","1882","","","","","",""
"809472","-5000","-5000","-5000","","","","","","","","","","","",""
"810304","","","","","","","","","","-5000","-5000","-5000","","",""
"811072","","","","","","","","","","3598","3598","3598","","",""
"813824","-5000","-5000","-5000","","","","","","","","","","","",""
"814464","","","","","","","-5000","-5000","-5000","","","","","",""
"814656","","","","","","","","","","4271","4271","4271","","",""
"816512","-5000","-5000","-5000","","","","","","","","","","","",""
"818688","","","","-5000","-5000","-5000","","","","","","","","",""
"819584","","","","","","","","","","","","","980","980","980"
"821632","","","","","","","","","","","","","3485","3485","3485"
"821760","","","","","","","","","","","","","3347","3347","3347"
"826432","","","","","","","-5000","-5000","-5000","","","","","",""
"828480","","","","3617","3617","3617","","","","","","","","",""
"829504","","","","","","","","","","","","","3298","3298","3298"
"830208","","","","","","","","","","","","","3747","3747","3747"
"832000","","","","","","","409","409","409","","","","","",""
"834432","74","74","74","","","","","","","","","","","",""
"835200","3405","3405","3405","","","","","","","","","","","",""
"836480","","","","","","","-5000","-5000","-5000","","","","","",""
"839680","","","","","","","1497","1497","1497","","","","","",""
"840384","-5000","-5000","-5000","","","","","","","","","","","",""
"841216","3860","3860","3860","","","","","","","","","","","",""
"847808","-5000","-5000","-5000","","","","","","","","","","","",""
"850368","","","","602","602","602","","","","","","","","",""
"852672","","","","","","","","","","-5000","-5000","-5000","","",""
"852800","","","","","","","","","","","","","3401","3401","3401"
"859712","","","","","","","","","","","","","1566","1566","1566"
"861632","","","","-5000","-5000","-5000","","","","","","","","",""
"862592","-5000","-5000","-5000","","","","","","","","","","","",""
"863680","","","","133","133","133","","","","","","","","",""
"867264","","","","","","","853","853","853","","","","","",""
"869120","","","","","","","1419","1419","1419","","","","","",""
"870400","1399","1399","1399","","","","","","","","","","","",""
"874688","","","","","","","","","","","","","1332","1332","1332"
"878912","3443","3443","3443","","","","","","","","","","","",""
"880384","","","","","","","","","","","","","-5000","-5000","-5000"
"882240","-5000","-5000","-5000","","","","","","","","","","","",""
"885440","","","","","","","","","","","","","-5000","-5000","-5000"
"887744","","","","-5000","-5000","-5000","","","","","","","","",""
"888512","-5000","-5000","-5000","","","","","","","","","","","",""
"893184","","","","","","","","","","2488","2488","2488","","",""
"894656","1020","1020","1020","","","","","","","","","","","",""
"900736","","","","","","","","","","","","","-5000","-5000","-5000"
"902656","","","","","","","1763","1763","1763","","","","","",""
"904320","","","","","","","3798","3798","3798","","","","","",""
"907904","","","","","","","","","","2825","2825","2825","","",""
"908928","","","","","","","3918","3918","3918","","","","","",""
"911872","","","","","","","","","","3751","3751","3751","","",""
"912576","","","","","","","","","","","","","1245","1245","1245"
"913536","","","","","","","","","","","","","3769","3769","3769"
"913728","","","","","","","-5000","-5000","-5000","","","","","",""
"914944","","","","","","","","","","","","","703","703","703"
"917632","3295","3295","3295","","","","","","","","","","","",""
"922816","-5000","-5000","-5000","","","","","","","","","","","",""
"926656","3007","3007","3007","","","","","","","","","","","",""
"928512","","","","","","","2371","2371","2371","","","","","",""
"929280","","","","","","","","","","","","","-5000","-5000","-5000"
"930240","","","","","","","","","","-5000","-5000","-5000","","",""
"932480","","","","","","","-5000","-5000","-5000","","","","","",""
"934848","","","","","","","","","","","","","2150","2150","2150"
"936256","","","","","","","1899","1899","1899","","","","","",""
"937216","","","","","","","","","","","","","3045","3045","3045"
"937408","","","","","","","","","","352","352","352","","",""
"938816","","","","-5000","-5000","-5000","","","","","","","","",""
"939968","","","","","","","","","","","","","4086","4086","4086"
"946624","","","","","","","4204","4204","4204","","","","","",""
"950848","","","","","","","","","","","","","1336","1336","1336"
"951680","","","","","","","-5000","-5000","-5000","","","","","",""
"952128","","","","","","","","","","","","","4546","4546","4546"
"952768","","","","","","","112","112","112","","","","","",""
"953472","","","","","","","","","","","","","3043","3043","3043"
"956096","","","","","","","","","","","","","4588","4588","4588"
"957120","-5000","-5000","-5000","","","","","","","","","","","",""
"959936","-5000","-5000","-5000","","","","","","","","","","-5000","-5000","-5000"
"960320","","","","","","","","","","","","","1752","1752","1752"
"963968","","","","","","","","","","3968","3968","3968","","",""
"965632","","","","2908","2908","2908","","","","","","","","",""
