"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"889472","","","","","","","","","","2228","2228","2228","","",""
"895744","","","","","","","","","","","","","3997","3997","3997"
"897216","864","864","864","","","","","","","","","","","",""
"901696","","","","","","","","","","","","","3169","3169","3169"
"901760","","","","","","","5000","5000","5000","","","","","",""
"903040","","","","","","","","","","4111","4111","4111","","",""
"903360","","","","","","","","","","","","","4116","4116","4116"
"904448","","","","","","","5000","5000","5000","","","","","",""
"908416","","","","","","","5000","5000","5000","","","","","",""
"909184","","","","","","","5000","5000","5000","","","","","",""
"911424","","","","","","","5000","5000","5000","","","","","",""
"913984","","","","5000","5000","5000","","","","","","","","",""
"918016","","","","","","","","","","","","","1617","1617","1617"
"921472","","","","","","","","","","","","","4399","4399","4399"
"923584","5000","5000","5000","","","","","","","","","","","",""
"923968","1446","1446","1446","","","","","","","","","","","",""
"927488","","","","","","","5000","5000","5000","","","","","",""
"931456","","","","","","","5000","5000","5000","","","","","",""
"933632","","","","","","","5000","5000","5000","","","","","",""
"942400","","","","","","","5000","5000","5000","","","","","",""
"944256","","","","","","","5000","5000","5000","","","","","",""
"946240","","","","","","","","","","","","","844","844","844"
"948160","","","","","","","","","","2233","2233","2233","","",""
"950208","","","","","","","5000","5000","5000","","","","","",""
"953408","","","","","","","5000","5000","5000","","","","","",""
"953984","","","","","","","5000","5000","5000","","","","","",""
"955648","","","","","","","5000","5000","5000","","","","","",""
"959936","5000","5000","5000","5000","5000","5000","5000","5000","5000","","","","","",""
"961984","","","","","","","","","","1673","1673","1673","","",""
"962880","","","","","","","","","","","","","4356","4356","4356"
"963968","","","","5000","5000","5000","","","","","","","","",""
"977792","2701","2701","2701","","","","","","","","","","","",""
"978432","","","","","","","","","","4119","4119","4119","","",""
"980224","","","","","","","","","","1206","1206","1206","","",""
"986048","","","","","","","5000","5000","5000","","","","","",""
"986112","","","","","","","","","","","","","5000","5000","5000"
"988928","","","","5000","5000","5000","","","","","","","","",""
"993024","517","517","517","","","","","","","","","","","",""
"993152","","","","5000","5000","5000","","","","","","","","",""
"993408","","","","5000","5000","5000","","","","","","","","",""
"997376","","","","","","","","","","3799","3799","3799","","",""
"1002752","5000","5000","5000","","","","","","","","","","","",""
"1007552","","","","","","","","","","2282","2282","2282","","",""
"1008128","","","","","","","","","","","","","5000","5000","5000"
"1009728","","","","","","","","","","","","","5000","5000","5000"
"1015424","","","","5000","5000","5000","","","","","","","","",""
"1018944","2312","2312","2312","","","","","","","","","","","",""
"1019392","","","","","","","","","","5000","5000","5000","","",""
"1021696","","","","","","","5000","5000","5000","","","","","",""
"1024576","","","","1010","1010","1010","","","","","","","","",""
"1030656","","","","5000","5000","5000","","","","","","","","",""
"1033216","","","","","","","","","","","","","5000","5000","5000"
"1034240","","","","5000","5000","5000","","","","","","","","",""
"1037184","5000","5000","5000","","","","","","","","","","","",""
"1042688","","","","1293","1293","1293","","","","","","","","",""
"1042880","","","","","","","","","","1296","1296","1296","","",""
"1044928","1328","1328","1328","","","","","","","","","","","",""
"1046592","5000","5000","5000","","","","","","","","","","","",""
"1049216","5000","5000","5000","","","","","","","","","","","",""
"1049664","","","","1402","1402","1402","","","","","","","","",""
"1049856","","","","","","","","","","","","","3761","3761","3761"
"1053632","","","","1464","1464","1464","","","","","","","","",""
"1058176","","","","1535","1535","1535","","","","","","","","",""
"1058304","","","","","","","","","","","","","3229","3229","3229"
"1061248","","","","1583","1583","1583","","","","","","","","",""
"1064832","","","","5000","5000","5000","","","","","","","","",""
"1065856","","","","","","","","","","","","","5000","5000","5000"
"1067392","4293","4293","4293","","","","","","","","","","","",""
"1070080","","","","719","719","719","","","","","","","","",""
"1072384","","","","1757","1757","1757","","","","","","","","",""
"1073344","","","","5000","5000","5000","","","","","","","","",""
"1073920","3889","3889","3889","","","","","","","","","","","",""
"1077120","","","","5000","5000","5000","","","","","","","","",""
"1080192","","","","","","","","","","5000","5000","5000","","",""
"1081792","","","","476","476","476","","","","","","","","",""
"1082496","","","","639","639","639","","","","","","","","",""
"1084224","5000","5000","5000","","","","","","","","","","","",""
"1085440","","","","5000","5000","5000","","","","","","","","",""
"1085824","","","","","","","","","","5000","5000","5000","","",""
"1086848","","","","","","","","","","5000","5000","5000","","",""
"1088640","1494","1494","1494","","","","","","","","","","","",""
"1089152","","","","","","","","","","","","","1698","1698","1698"
"1096128","","","","","","","","","","2956","2956","2956","","",""
"1096704","","","","","","","","","","3537","3537","3537","","",""
"1099648","","","","","","","","","","2183","2183","2183","","",""
"1100672","","","","","","","","","","320","320","320","","",""
"1107200","2301","2301","2301","","","","","","","","","","","",""
"1108416","","","","","","","","","","","","","3168","3168","3168"
"1109568","","","","2338","2338","2338","","","","","","","","",""
"1122432","","","","","","","","","","","","","3403","3403","3403"
"1126272","","","","","","","","","","","","","5000","5000","5000"
"1128576","","","","","","","","","","795","795","795","","",""
"1129792","","","","1246","1246","1246","","","","","","","","",""
"1133952","","","","","","","","","","5000","5000","5000","","",""
"1134144","","","","","","","","","","1097","1097","1097","","",""
"1136128","5000","5000","5000","","","","","","","","","","","",""
"1136320","2166","2166","2166","","","","","","","","","","","",""
"1138176","5000","5000","5000","","","","","","","","","","","",""
"1138816","","","","","","","","","","2795","2795","2795","","",""
"1139904","5000","5000","5000","","","","","","","","","","","",""
"1141952","4646","4646","4646","","","","","","","","","","","",""
"1145280","","","","","","","","","","2896","2896","2896","","",""
