"Step","melting_self_runseed=4 - training/episode/length","melting_self_runseed=4 - training/episode/length__MIN","melting_self_runseed=4 - training/episode/length__MAX","melting_self_runseed=3 - training/episode/length","melting_self_runseed=3 - training/episode/length__MIN","melting_self_runseed=3 - training/episode/length__MAX","melting_self_runseed=2 - training/episode/length","melting_self_runseed=2 - training/episode/length__MIN","melting_self_runseed=2 - training/episode/length__MAX","melting_self_runseed=1 - training/episode/length","melting_self_runseed=1 - training/episode/length__MIN","melting_self_runseed=1 - training/episode/length__MAX","melting_self_runseed=0 - training/episode/length","melting_self_runseed=0 - training/episode/length__MIN","melting_self_runseed=0 - training/episode/length__MAX"
"872192","","","","","","","3629","3629","3629","","","","","",""
"873664","","","","5000","5000","5000","","","","","","","","",""
"878016","","","","","","","1408","1408","1408","","","","","",""
"880384","","","","5000","5000","5000","","","","","","","5000","5000","5000"
"881088","","","","","","","","","","","","","2845","2845","2845"
"883136","","","","","","","3867","3867","3867","","","","","",""
"885248","","","","","","","","","","","","","5000","5000","5000"
"887744","","","","5000","5000","5000","","","","","","","","",""
"889600","","","","","","","","","","","","","2210","2210","2210"
"893952","3238","3238","3238","","","","","","","","","","","",""
"894656","3980","3980","3980","","","","","","","","","","","",""
"896512","","","","1785","1785","1785","","","","","","","","",""
"897920","","","","","","","","","","4150","4150","4150","","",""
"899392","","","","","","","691","691","691","","","","","",""
"899776","","","","5000","5000","5000","","","","","","","","",""
"901952","3162","3162","3162","","","","","","","","","","","",""
"911616","2943","2943","2943","","","","","","","","","","","",""
"911680","","","","","","","2670","2670","2670","","","","","",""
"912576","","","","","","","","","","","","","3755","3755","3755"
"913728","","","","","","","5000","5000","5000","","","","","",""
"914688","","","","","","","","","","1631","1631","1631","","",""
"914944","","","","","","","","","","","","","4297","4297","4297"
"916096","","","","5000","5000","5000","","","","","","","","",""
"920832","","","","1504","1504","1504","","","","","","","","",""
"922688","","","","","","","5000","5000","5000","","","","","",""
"923072","","","","","","","","","","","","","2979","2979","2979"
"926656","1993","1993","1993","","","","","","","","","","","",""
"930240","","","","","","","","","","5000","5000","5000","","",""
"933312","","","","","","","","","","4584","4584","4584","","",""
"934848","","","","","","","","","","","","","2850","2850","2850"
"937216","","","","","","","","","","","","","1955","1955","1955"
"937536","","","","","","","","","","","","","5000","5000","5000"
"939840","","","","","","","","","","4918","4918","4918","","",""
"939968","","","","","","","","","","","","","914","914","914"
"940032","","","","","","","","","","4192","4192","4192","","",""
"944640","","","","","","","5000","5000","5000","","","","","",""
"947520","","","","3437","3437","3437","","","","","","","","",""
"950848","","","","","","","","","","","","","3664","3664","3664"
"952640","1638","1638","1638","","","","","","","","","","","",""
"953408","","","","","","","","","","3474","3474","3474","","",""
"956096","","","","","","","","","","","","","412","412","412"
"959936","","","","5000","5000","5000","","","","","","","5000","5000","5000"
"960320","","","","","","","","","","","","","3248","3248","3248"
"963968","","","","","","","","","","1032","1032","1032","","",""
"964544","","","","","","","","","","2398","2398","2398","","",""
"965184","","","","4690","4690","4690","","","","","","","","",""
"966400","","","","","","","","","","","","","3312","3312","3312"
