"Step","melting_runseed=4 - training/episode/length","melting_runseed=4 - training/episode/length__MIN","melting_runseed=4 - training/episode/length__MAX","melting_runseed=3 - training/episode/length","melting_runseed=3 - training/episode/length__MIN","melting_runseed=3 - training/episode/length__MAX","melting_runseed=2 - training/episode/length","melting_runseed=2 - training/episode/length__MIN","melting_runseed=2 - training/episode/length__MAX","melting_runseed=1 - training/episode/length","melting_runseed=1 - training/episode/length__MIN","melting_runseed=1 - training/episode/length__MAX","melting_runseed=0 - training/episode/length","melting_runseed=0 - training/episode/length__MIN","melting_runseed=0 - training/episode/length__MAX"
"1367808","336","336","336","","","","","","","","","","","",""
"1370048","","","","","","","2621","2621","2621","","","","","",""
"1375680","","","","5000","5000","5000","","","","","","","","",""
"1379840","","","","","","","5000","5000","5000","","","","","",""
"1381056","","","","2496","2496","2496","","","","","","","","",""
"1381696","","","","","","","","","","5000","5000","5000","","",""
"1383872","","","","","","","5000","5000","5000","","","","","",""
"1388864","","","","","","","5000","5000","5000","","","","","",""
"1397568","3786","3786","3786","","","","","","","","","","","",""
"1399040","","","","5000","5000","5000","","","","","","","","",""
"1401664","3000","3000","3000","","","","","","","","","","","",""
"1404032","","","","","","","5000","5000","5000","","","","","",""
"1404480","","","","","","","322","322","322","","","","","",""
"1404736","","","","","","","5000","5000","5000","","","","","",""
"1406912","","","","","","","3112","3112","3112","","","","","",""
"1410624","","","","","","","","","","","","","3504","3504","3504"
"1416256","","","","","","","983","983","983","","","","","",""
"1419008","","","","","","","","","","2044","2044","2044","","",""
"1422464","","","","3961","3961","3961","","","","","","","","",""
"1438080","","","","","","","","","","","","","1315","1315","1315"
"1444544","","","","","","","5000","5000","5000","","","","","",""
"1449408","","","","","","","5000","5000","5000","","","","","",""
"1460352","5000","5000","5000","","","","","","","","","","","",""
"1462208","","","","","","","","","","","","","622","622","622"
"1463296","","","","","","","","","","","","","2652","2652","2652"
"1466496","","","","360","360","360","","","","","","","","",""
"1468032","","","","5000","5000","5000","","","","857","857","857","","",""
"1468864","","","","","","","","","","","","","802","802","802"
"1469376","","","","","","","","","","5000","5000","5000","","",""
"1472640","","","","","","","5000","5000","5000","","","","","",""
"1476160","","","","","","","","","","","","","3724","3724","3724"
"1476288","3865","3865","3865","","","","","","","","","","","",""
"1476800","","","","","","","","","","","","","5000","5000","5000"
"1480704","","","","","","","","","","","","","2025","2025","2025"
"1481024","","","","4873","4873","4873","","","","","","","","",""
"1481408","","","","","","","","","","","","","3264","3264","3264"
"1481984","","","","1577","1577","1577","","","","","","","","",""
"1482496","5000","5000","5000","","","","","","","5000","5000","5000","","",""
"1483072","","","","","","","","","","5000","5000","5000","","",""
"1483520","","","","","","","","","","","","","1175","1175","1175"
"1485440","","","","","","","1650","1650","1650","","","","","",""
"1486464","","","","","","","1243","1243","1243","","","","","",""
"1486656","","","","","","","","","","4639","4639","4639","","",""
"1487488","4147","4147","4147","","","","","","","","","","","",""
"1489984","4719","4719","4719","","","","","","","","","","","",""
"1490304","","","","1426","1426","1426","","","","","","","","",""
"1493440","","","","","","","5000","5000","5000","","","","","",""
"1495296","","","","","","","","","","","","","1240","1240","1240"
"1503040","","","","3135","3135","3135","","","","","","","","",""
"1503360","","","","","","","","","","","","","5000","5000","5000"
"1504256","","","","","","","","","","5000","5000","5000","","",""
