"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"666496","","","","474","474","474","","","","","","","-5000","-5000","-5000"
"667840","","","","","","","","","","1792","1792","1792","","",""
"668480","","","","","","","","","","","","","-5000","-5000","-5000"
"669568","","","","1383","1383","1383","","","","","","","","",""
"671040","","","","799","799","799","","","","","","","","",""
"672384","","","","2631","2631","2631","","","","","","","","",""
"673024","","","","","","","703","703","703","","","","","",""
"674112","","","","","","","","","","","","","2903","2903","2903"
"676288","","","","","","","","","","2186","2186","2186","","",""
"678080","","","","-5000","-5000","-5000","","","","","","","","",""
"680960","2598","2598","2598","","","","","","","","","","","",""
"684224","","","","","","","","","","","","","4308","4308","4308"
"686912","","","","","","","","","","-5000","-5000","-5000","","",""
"695552","","","","","","","","","","","","","4131","4131","4131"
"695616","","","","","","","2843","2843","2843","","","","","",""
"696640","","","","","","","4114","4114","4114","","","","","",""
"697600","","","","","","","","","","1019","1019","1019","","",""
"698688","1806","1806","1806","","","","","","","","","","","",""
"698944","","","","","","","","","","","","","-5000","-5000","-5000"
"702272","","","","","","","","","","3279","3279","3279","","",""
"703936","","","","4000","4000","4000","","","","","","","","",""
"705216","","","","4046","4046","4046","","","","","","","","",""
"706240","","","","","","","","","","3268","3268","3268","","",""
"706624","","","","","","","","","","","","","3568","3568","3568"
"708416","","","","","","","","","","","","","2932","2932","2932"
"709376","","","","","","","","","","-5000","-5000","-5000","","",""
"712704","-5000","-5000","-5000","","","","","","","","","","","",""
"713216","491","491","491","","","","","","","","","","","",""
"713728","1374","1374","1374","","","","","","","","","","","",""
"714944","","","","","","","360","360","360","","","","","",""
"715904","","","","1680","1680","1680","","","","","","","","",""
"718016","3130","3130","3130","","","","","","","","","","","",""
