"Step","melting_softmax_runseed=4 - training/episode/reward","melting_softmax_runseed=4 - training/episode/reward__MIN","melting_softmax_runseed=4 - training/episode/reward__MAX","melting_softmax_runseed=3 - training/episode/reward","melting_softmax_runseed=3 - training/episode/reward__MIN","melting_softmax_runseed=3 - training/episode/reward__MAX","melting_softmax_runseed=2 - training/episode/reward","melting_softmax_runseed=2 - training/episode/reward__MIN","melting_softmax_runseed=2 - training/episode/reward__MAX","melting_softmax_runseed=1 - training/episode/reward","melting_softmax_runseed=1 - training/episode/reward__MIN","melting_softmax_runseed=1 - training/episode/reward__MAX","melting_softmax_runseed=0 - training/episode/reward","melting_softmax_runseed=0 - training/episode/reward__MIN","melting_softmax_runseed=0 - training/episode/reward__MAX"
"993024","4483","4483","4483","","","","","","","","","","","",""
"993344","2475","2475","2475","","","","","","","","","","","",""
"993408","","","","-5000","-5000","-5000","","","","","","","","",""
"997376","","","","","","","","","","1201","1201","1201","","",""
"1002560","","","","","","","","","","","","","4107","4107","4107"
"1002752","-5000","-5000","-5000","","","","","","","","","","","",""
"1003392","2297","2297","2297","","","","","","","","","","","",""
"1009664","","","","-5000","-5000","-5000","","","","","","","","",""
"1009728","","","","","","","","","","","","","-5000","-5000","-5000"
"1011904","","","","-5000","-5000","-5000","","","","","","","","",""
"1014976","","","","","","","","","","","","","1558","1558","1558"
"1016256","","","","","","","","","","","","","1868","1868","1868"
"1018688","4082","4082","4082","","","","","","","","","","","",""
"1019392","","","","","","","","","","-5000","-5000","-5000","","",""
"1021632","","","","","","","","","","-5000","-5000","-5000","","",""
"1021696","","","","","","","-5000","-5000","-5000","","","","","",""
"1021888","","","","","","","","","","","","","-5000","-5000","-5000"
"1024064","","","","-5000","-5000","-5000","","","","","","","","",""
"1024576","","","","3990","3990","3990","","","","","","","","",""
"1026752","","","","-5000","-5000","-5000","","","","","","","","",""
"1026880","4021","4021","4021","","","","","","","","","","","",""
"1031552","","","","","","","","","","-5000","-5000","-5000","","",""
"1038016","","","","-5000","-5000","-5000","","","","","","","","",""
"1039424","","","","","","","","","","-5000","-5000","-5000","","",""
"1042688","","","","3707","3707","3707","","","","","","","","",""
"1042880","","","","","","","","","","3704","3704","3704","","",""
"1044160","","","","","","","","","","4269","4269","4269","","",""
"1044928","3672","3672","3672","","","","","","","","","","","",""
"1049664","","","","3598","3598","3598","","","","","","","","",""
"1049856","","","","","","","","","","","","","1239","1239","1239"
"1050176","","","","","","","","","","","","","1774","1774","1774"
"1051328","","","","138","138","138","","","","","","","","",""
"1053632","","","","3536","3536","3536","","","","","","","","",""
"1058176","","","","3465","3465","3465","","","","","","","","",""
"1064832","","","","-5000","-5000","-5000","","","","","","","","",""
"1065280","","","","","","","","","","-5000","-5000","-5000","","",""
